chr - chr1 1 0 197195432 chr1
chr - chr2 2 0 181748087 chr2
chr - chr3 3 0 159599783 chr3
chr - chr4 4 0 155630120 chr4
chr - chr5 5 0 152537259 chr5
chr - chr6 6 0 149517037 chr6
chr - chr7 7 0 152524553 chr7
chr - chr8 8 0 131738871 chr8
chr - chr9 9 0 124076172 chr9
chr - chr10 10 0 129993255 chr10
chr - chr11 11 0 121843856 chr11
chr - chr12 12 0 121257530 chr12
chr - chr13 13 0 120284312 chr13
chr - chr14 14 0 125194864 chr14
chr - chr15 15 0 103494974 chr15
chr - chr16 16 0 98319150 chr16
chr - chr17 17 0 95272651 chr17
chr - chr18 18 0 90772031 chr18
chr - chr19 19 0 61342430 chr19
chr - chrX x 0 166650296 chrx
chr - chrY y 0 15902555 chry
band chr1 qa1 qa1 0 8918386 gpos100
band chr1 qa2 qa2 8918386 12386647 gneg
band chr1 qa3 qa3 12386647 20314102 gpos33
band chr1 qa4 qa4 20314102 22295965 gneg
band chr1 qa5 qa5 22295965 31214352 gpos100
band chr1 qb qb 31214352 43601000 gneg
band chr1 qc1.1 qc1.1 43601000 54996715 gpos66
band chr1 qc1.2 qc1.2 54996715 56483113 gneg
band chr1 qc1.3 qc1.3 56483113 59951375 gpos75
band chr1 qc2 qc2 59951375 65896965 gneg
band chr1 qc3 qc3 65896965 75310818 gpos33
band chr1 qc4 qc4 75310818 80760943 gneg
band chr1 qc5 qc5 80760943 88192931 gpos33
band chr1 qd qd 88192931 100579579 gneg
band chr1 qe1.1 qe1.1 100579579 103552375 gpos33
band chr1 qe1.2 qe1.2 103552375 104543306 gneg
band chr1 qe2.1 qe2.1 104543306 113461693 gpos100
band chr1 qe2.2 qe2.2 113461693 114948091 gneg
band chr1 qe2.3 qe2.3 114948091 126839272 gpos100
band chr1 qe3 qe3 126839272 129812068 gneg
band chr1 qe4 qe4 129812068 140712318 gpos66
band chr1 qf qf 140712318 148639772 gneg
band chr1 qg1 qg1 148639772 153098966 gpos100
band chr1 qg2 qg2 153098966 154089897 gneg
band chr1 qg3 qg3 154089897 158549091 gpos100
band chr1 qh1 qh1 158549091 161521886 gneg
band chr1 qh2.1 qh2.1 161521886 165485613 gpos33
band chr1 qh2.2 qh2.2 165485613 166972011 gneg
band chr1 qh2.3 qh2.3 166972011 171431204 gpos33
band chr1 qh3 qh3 171431204 177376795 gneg
band chr1 qh4 qh4 177376795 183322386 gpos33
band chr1 qh5 qh5 183322386 189763443 gneg
