chr - chr1 chr1 0 267910886 chr1
chr - chr2 chr2 0 258207540 chr2
chr - chr3 chr3 0 171063335 chr3
chr - chr4 chr4 0 187126005 chr4
chr - chr5 chr5 0 173096209 chr5
chr - chr6 chr6 0 147636619 chr6
chr - chr7 chr7 0 143002779 chr7
chr - chr8 chr8 0 129041809 chr8
chr - chr9 chr9 0 113440463 chr9
chr - chr10 chr10 0 110718848 chr10
chr - chr11 chr11 0 87759784 chr11
chr - chr12 chr12 0 46782294 chr12
chr - chr13 chr13 0 111154910 chr13
chr - chr14 chr14 0 112194335 chr14
chr - chr15 chr15 0 109758846 chr15
chr - chr16 chr16 0 90238779 chr16
chr - chr17 chr17 0 97296363 chr17
chr - chr18 chr18 0 87265094 chr18
chr - chr19 chr19 0 59218465 chr19
chr - chr20 chr20 0 55268282 chr20
chr - chrX chrx 0 160699376 chrx
band chr1 p13 p13 0 10142096 gneg
band chr1 p12 p12 10142096 24272657 gvar
band chr1 p11 p11 24272657 38517175 gneg
band chr1 q11 q11 38517175 48659271 gpos
band chr1 q12 q12 48659271 69741157 gneg
band chr1 q21 q21 69741157 90025350 gpos
band chr1 q22 q22 90025350 123756368 gneg
band chr1 q31 q31 123756368 141191657 gpos
band chr1 q32 q32 141191657 162273543 gneg
band chr1 q33 q33 162273543 170478385 gpos
band chr1 q34 q34 170478385 174466850 gneg
band chr1 q35 q35 174466850 179822789 gpos
band chr1 q36 q36 179822789 187913675 gneg
band chr1 q37 q37 187913675 190762578 gpos
band chr1 q41 q41 190762578 204893140 gneg
band chr1 q42 q42 204893140 207400175 gpos
band chr1 q43 q43 207400175 223240078 gneg
band chr1 q51 q51 223240078 231330964 gpos
band chr1 q52 q52 231330964 239421850 gneg
band chr1 q53 q53 239421850 245575482 gpos
band chr1 q54 q54 245575482 253666368 gneg
band chr1 q55 q55 253666368 267910886 gvar
band chr10 q11 q11 0 6254774 gpos
band chr10 q12 q12 6254774 26232711 gneg
band chr10 q21 q21 26232711 34821357 gpos
band chr10 q22 q22 34821357 47517616 gneg
band chr10 q23 q23 47517616 49851488 gpos
band chr10 q24 q24 49851488 63761360 gneg
band chr10 q25 q25 63761360 66468650 gpos
band chr10 q26 q26 66468650 83085813 gneg
band chr10 q31 q31 83085813 88033620 gpos
band chr10 q32.1 q32.1 88033620 103717234 gneg
band chr10 q32.2 q32.2 103717234 105397621 gpos
band chr10 q32.3 q32.3 105397621 110718848 gneg
band chr11 p12 p12 0 6656992 gvar
band chr11 p11 p11 6656992 15001672 gneg
band chr11 q11 q11 15001672 36660337 gpos
band chr11 q12 q12 36660337 48380393 gneg
band chr11 q21 q21 48380393 64975993 gpos
band chr11 q22 q22 64975993 76696050 gneg
band chr11 q23 q23 76696050 87759784 gpos
band chr12 p12 p12 0 5483638 gvar
band chr12 p11 p11 5483638 12566672 gneg
band chr12 q11 q11 12566672 18678644 gpos
band chr12 q12 q12 18678644 26846981 gneg
band chr12 q13 q13 26846981 28446376 gpos
band chr12 q14 q14 28446376 32501984 gneg
band chr12 q15 q15 32501984 33930015 gpos
band chr12 q16 q16 33930015 46782294 gneg
band chr13 p13 p13 0 17399939 gneg
band chr13 p12 p12 17399939 22926979 gvar
band chr13 p11 p11 22926979 30194013 gneg
band chr13 q11 q11 30194013 40019861 gpos
band chr13 q12 q12 40019861 42988086 gneg
band chr13 q13 q13 42988086 55679807 gpos
band chr13 q21 q21 55679807 71749163 gpos
band chr13 q22 q22 71749163 80142075 gneg
band chr13 q23 q23 80142075 83007948 gpos
band chr13 q24 q24 83007948 91093802 gneg
band chr13 q25 q25 91093802 93959675 gpos
band chr13 q26 q26 93959675 105627870 gneg
band chr13 q27 q27 105627870 111154910 gpos
band chr14 p22 p22 0 21145501 gneg
band chr14 p21 p21 21145501 31410307 gpos
band chr14 p11 p11 31410307 49271071 gneg
band chr14 q11 q11 49271071 68671555 gpos
band chr14 q21 q21 68671555 94949460 gpos
band chr14 q22 q22 94949460 112194335 gneg
band chr15 p16 p16 0 14498477 gneg
band chr15 p15 p15 14498477 17183380 gpos
band chr15 p14 p14 17183380 31681858 gneg
band chr15 p13 p13 31681858 34366761 gneg
band chr15 p12 p12 34366761 47791278 gvar
band chr15 p11 p11 47791278 54235046 gneg
band chr15 q11 q11 54235046 60356625 gpos
band chr15 q12 q12 60356625 71848011 gneg
band chr15 q21 q21 71848011 86776073 gpos
band chr15 q22 q22 86776073 91716295 gneg
band chr15 q23 q23 91716295 99341421 gpos
band chr15 q24 q24 99341421 106214773 gneg
band chr15 q25 q25 106214773 109758846 gpos
band chr16 p16 p16 0 10244998 gneg
band chr16 p15 p15 10244998 12107726 gpos
band chr16 p14 p14 12107726 25043330 gneg
band chr16 p13 p13 25043330 29389694 gneg
band chr16 p12 p12 29389694 34977875 gvar
band chr16 p11 p11 34977875 42325298 gneg
band chr16 q11 q11 42325298 51535449 gpos
band chr16 q12.1 q12.1 51535449 58882872 gneg
band chr16 q12.2 q12.2 58882872 61780448 gpos
band chr16 q12.3 q12.3 61780448 69231356 gneg
band chr16 q12.4 q12.4 69231356 71818477 gpos
band chr16 q12.5 q12.5 71818477 90238779 gneg
band chr17 p14 p14 0 22957568 gneg
band chr17 p13 p13 22957568 25253325 gneg
band chr17 p12 p12 25253325 42744806 gvar
band chr17 p11 p11 42744806 48648181 gneg
band chr17 q11 q11 48648181 54442234 gpos
band chr17 q12.1 q12.1 54442234 73136254 gneg
band chr17 q12.2 q12.2 73136254 75869298 gpos
band chr17 q12.3 q12.3 75869298 97296363 gneg
band chr18 p13 p13 0 10604365 gneg
band chr18 p12 p12 10604365 27505073 gvar
band chr18 p11 p11 27505073 37336204 gneg
band chr18 q11 q11 37336204 51033510 gpos
band chr18 q12.1 q12.1 51033510 67602832 gneg
band chr18 q12.2 q12.2 67602832 71469007 gpos
band chr18 q12.3 q12.3 71469007 82846608 gneg
band chr18 q13 q13 82846608 87265094 gpos
band chr19 p14 p14 0 4060256 gneg
band chr19 p13 p13 4060256 10571989 gneg
band chr19 p12 p12 10571989 12257379 gvar
band chr19 p11 p11 12257379 22369717 gneg
band chr19 q11 q11 22369717 35469792 gpos
band chr19 q12 q12 35469792 59218465 gneg
band chr2 q11 q11 0 15886252 gpos
band chr2 q12 q12 15886252 34569380 gneg
band chr2 q13 q13 34569380 37030630 gpos
band chr2 q14 q14 37030630 47770632 gneg
band chr2 q15 q15 47770632 50903132 gpos
band chr2 q16 q16 50903132 63656884 gneg
band chr2 q21 q21 63656884 72830636 gpos
band chr2 q22 q22 72830636 84801263 gneg
band chr2 q23 q23 84801263 97555015 gpos
band chr2 q24 q24 97555015 117468768 gneg
band chr2 q25 q25 117468768 126642519 gpos
band chr2 q26 q26 126642519 145437522 gneg
band chr2 q31 q31 145437522 159310024 gpos
band chr2 q32 q32 159310024 171280651 gneg
band chr2 q33 q33 171280651 174525027 gpos
band chr2 q34 q34 174525027 205178781 gneg
band chr2 q41 q41 205178781 219051283 gneg
band chr2 q42 q42 219051283 227106285 gpos
band chr2 q43 q43 227106285 235049411 gneg
band chr2 q44 q44 235049411 246236913 gneg
band chr2 q45 q45 246236913 258207540 gvar
band chr20 p12 p12 0 15959251 gvar
band chr20 p11 p11 15959251 26670159 gneg
band chr20 q11 q11 26670159 38023721 gpos
band chr20 q12 q12 38023721 45735574 gneg
band chr20 q13 q13 45735574 55268282 gpos
band chr3 p13 p13 0 5305065 gneg
band chr3 p12 p12 5305065 11010513 gvar
band chr3 p11 p11 11010513 16315578 gneg
band chr3 q11 q11 16315578 21320357 gpos
band chr3 q12 q12 21320357 39137369 gneg
band chr3 q21 q21 39137369 54151705 gpos
band chr3 q22 q22 54151705 55853329 gneg
band chr3 q23 q23 55853329 60557821 gpos
band chr3 q24 q24 60557821 78374833 gneg
band chr3 q31 q31 78374833 88284295 gpos
band chr3 q32 q32 88284295 91187067 gneg
band chr3 q33 q33 91187067 96191846 gpos
band chr3 q34 q34 96191846 99695191 gneg
band chr3 q35 q35 99695191 112207137 gpos
band chr3 q36 q36 112207137 128222429 gneg
band chr3 q41 q41 128222429 145338772 gneg
band chr3 q42 q42 145338772 165658174 gpos
band chr3 q43 q43 165658174 171063335 gneg
band chr4 q11 q11 0 15612157 gpos
band chr4 q12 q12 15612157 25397242 gneg
band chr4 q13 q13 25397242 31993929 gpos
band chr4 q21 q21 31993929 46176804 gpos
band chr4 q22 q22 46176804 69595041 gneg
band chr4 q23 q23 69595041 72343661 gpos
band chr4 q24 q24 72343661 92683444 gneg
band chr4 q31 q31 92683444 102908308 gpos
band chr4 q32 q32 102908308 104447535 gneg
band chr4 q33 q33 104447535 112253614 gpos
band chr4 q34 q34 112253614 136991188 gneg
band chr4 q41 q41 136991188 146776273 gneg
band chr4 q42 q42 146776273 170194509 gpos
band chr4 q43 q43 170194509 174152521 gneg
band chr4 q44 q44 174152521 187126005 gneg
band chr5 q11 q11 0 12292177 gpos
band chr5 q12 q12 12292177 20226219 gneg
band chr5 q13 q13 20226219 34529844 gpos
band chr5 q21 q21 34529844 51627145 gpos
band chr5 q22 q22 51627145 66824746 gneg
band chr5 q23 q23 66824746 69618423 gpos
band chr5 q24 q24 69618423 85486507 gneg
